8	seule	seul	ADJ	ADJ	n=s|g=f	6	obj	6	obj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	186	1	191	_	186	191	_	Err	seul	186-191
9	au	à	P+D	P+D	n=s|g=m	6	mod	6	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	192	1	194	_	192	194	_	_	_
10	lycée	lycée	NC	NC	n=s|g=m	9	prep	9	prep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	195	1	200	_	195	200	_	_	_
11	,	,	PONCT	PONCT		10	ponct	10	ponct	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	200	1	201	_	200	201	_	_	_
12	sans	sans	P	P		6	mod	6	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	202	1	206	_	202	206	_	_	_
13	copine	copine	NC	NC	n=s|g=f	12	prep	12	prep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	207	1	213	_	207	213	_	_	_
14	.	.	PONCT	PONCT		13	ponct	13	ponct	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	213	1	214	_	213	214	_	_	_

1	Un	un	DET	DET	n=s|g=m	2	det	2	det	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	215	1	217	_	215	217	_	_	_
2	jour	jour	NC	NC	n=s|g=m	0	root	0	root	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	218	1	222	_	218	222	_	_	_
3	d'	de	P	P		2	dep	2	dep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	223	1	225	_	223	225	_	_	_
4	été	été	NC	NC	n=s|g=m	3	prep	3	prep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	225	1	228	_	225	228	_	_	_
5	un	un	DET	DET	n=s|g=m	6	det	6	det	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	230	1	232	_	230	232	_	_	_
6	groupe	groupe	NC	NC	n=s|g=m	2	mod	2	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	233	1	239	_	233	239	_	_	_
7	de	de	P	P		2	dep	2	dep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	240	1	242	_	240	242	_	_	_
8	filles	fille	NC	NC	n=p|g=f	7	prep	7	prep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	243	1	249	_	243	249	_	Err	fille	243-249
9	venait	venir	V	V	n=s|t=I|p=3	0	_	0	_	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	250	1	256	imparfait	250	256	_	Err	vennait	250-256
10	la	la	CLO	CLO	n=s|g=f|p=3	11	obj	11	obj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	257	1	259	_	257	259	_	_	_
11	voir	voir	VINF	VINF	t=W	9	obj	9	obj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	260	1	264	_	260	264	_	_	_
12	pour	pour	P	P		11	mod	11	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	265	1	269	_	265	269	_	_	_
13	faire	faire	VINF	VINF	t=W	12	prep	12	prep	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	270	1	275	_	270	275	_	_	_
14	connaissance	connaissance	NC	NC	n=s|g=f	13	obj	13	obj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	276	1	288	_	276	288	_	Err	connaissances	276-288
15	,	,	PONCT	PONCT		14	ponct	14	ponct	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	288	1	289	_	288	289	_	_	_
16	mais	mais	CC	CC		9	coord	9	coord	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	290	1	294	_	290	294	_	_	_
17	ce	ce	PRO	PRO	n=s	16	dep_coord	16	dep_coord	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	295	1	297	_	295	297	_	_	_
18	qu'	que	PROREL	PROREL		21	obj	21	obj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	298	1	301	_	298	301	_	_	_
19	elle	elle	CLS	CLS	n=s|g=f|p=3	21	suj	21	suj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	301	1	305	_	301	305	_	_	_
20	ne	ne	ADV	ADV		21	mod	21	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	306	1	308	_	306	308	_	_	_
21	savait	savoir	V	V	n=s|t=I|p=3	17	mod_rel	17	mod_rel	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	309	1	315	imparfait	309	315	_	_	_
22	pas	pas	ADV	ADV		21	mod	21	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	316	1	319	_	316	319	_	_	_
23	c'	ce	CLS	CLS		0	_	0	_	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	320	1	322	_	320	322	_	_	_
24	est	être	V	V	n=s|t=P|p=3	23	root	23	root	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	322	1	325	present	322	325	_	_	_
25	que	que	CS	CS		24	obj	24	obj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	326	1	329	_	326	329	_	_	_
26	ce	ce	DET	DET	n=s|g=m	27	det	27	det	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	330	1	332	_	330	332	_	Err	ce groupe là	330-342
27	groupe-là	_	NC	NC		28	suj	28	suj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	333	1	342	_	333	342	_	Err	ce groupe là	330-342
28	était	être	V	V	n=s|t=I|p=3	25	sub	25	sub	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	343	1	348	imparfait	343	348	_	_	_
29	une	une	DET	DET	n=s|g=f	31	det	31	det	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	349	1	352	_	349	352	_	_	_
30	mauvaise	mauvais	ADJ	ADJ	n=s|g=f	31	mod	31	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	353	1	361	_	353	361	_	_	_
31	fréquentation	fréquentation	NC	NC	n=s|g=f	28	obj	28	obj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	362	1	375	_	362	375	_	Err	frequentation.	362-375
32	...	...	PONCT	PONCT		31	ponct	31	ponct	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	1	376	1	379	_	376	379	_	_	_

1	Plusieurs	plusieurs	DET	DET	n=p	2	det	2	det	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	1	2	10	_	379	388	_	Err	,	387-387
2	jours	jour	NC	NC	n=p|g=m	6	suj	6	suj	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	11	2	16	_	389	394	_	_	_
3	,	,	PONCT	PONCT		2	ponct	2	ponct	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	16	2	17	_	394	395	_	_	_
4	semaines	semaine	NC	NC	n=p|g=f	2	mod	2	mod	3e/CO-3e-2016-VTAC305-D1-R4-V1_normalised.ac	2	18	2	26	_	396	404	_	_	_
